3시간 쉴틈없이 넋놓고 보았다,10
아무 정보 없이 봤는데 엄청 신나네요 ㅋㅋ 놀이기구 타는 줄,10
국뽕이.차오르는 영화엿다,10
기대 이상으로 좋았지만 러닝타임이 너무 김,10
카톡릭 신자로써 김대건 안드레아 신부님 존경하고 그분의 스토리를 알고 있는 저도 갑자기 급격하게 스킵되는 부분에서 뭐지? 라는 생각이 들었어요. 스토리의 맥락도 없고 마지막에 김대건 안드레아 신부님의 시신이 어떻게 수습이 되는 지 등 감성적이고 중요했던 내용들은 쏙 빼고 기대 많이 했는데 실망 스럽네요. 배우들 연기는 대박인데 스토리 이렇게 밖에 안되는 거였나요. 쓸데 없는 부분에서 CG 넣지 맑고 스토리 부터 탄탄히 만들지 그러셨어요? 돈이 아까워서가 아니라 김대건 안드레아 신부님의 일대를 너무 중구난방으로 스토리 쓴게 너무 속상하네요,4
진짜  인간 싫어지게 만드는 영화 !!!  인간들이제일 문제다 !!  많은 교훈을 주고  자식을 사랑하는 마음은  인간 동물 나비족 다 똑같다 !!!  다 소중해 !!  동물을 아낄줄 알고 생명을 아낄줄 알아야 함을 자식들에게 가르치게 하는 영화 영상미 말해 뭐해 ...  다들 꼭 보시길 !!!  ,10
올해 흥행1위가 미국인 마동석이 웅얼대고 돼지가 윙윙 파리마냥 휘둘러대는 돼지 족발 펀지였지...이영화는 줄거리가 중요한게 아니였고이영화가 끝나고 못일어서고 앉아 계시는 관객 분들이 너무많았다 그리고 본인은 감정적으로 너무 힘들었다영화 쿠키 영상이나 보려고 기다리는 모습의 관객이 아니라 나처럼 일어서것이 힘들어 보이는 관객들이 많았다 작품 후반에 약40여분간 몰아치는 영상과 음악 너무 가슴이 메어지게 아팟다몇몇 악플보면 JK필름 신파라고 말하는 남들 까기 좋아하는 오타쿠들의 소시오패스같은 공감대없는 개소리는 차라리 쪽발이 감성의 소유자의 비난이라 보는게 맞는것같다감동 소소한 유머 배우들의 노래 배우의 캐스팅 감독의 의도 원작의 흉륭함한국영화 국뽕을 빼고도 올해 본 영화중 최고였다 ,10
최고라는 말 밖에...,10
너무너무 감명깊게 봤어요 이건 꼭 많은 사람이봤으면 합니다,10
한국인이라면 꼭 봐야하는 영화인거 같아요!!전 오늘 영화 보면서 눈물 광광.. 마스크 젖을 정도로.. 흘리면서 봤어요.. ㅜ (개인적으로 제가 원래 눈물 많고 감수성 풍부한 편..),10
